iter	Passed	Remaining
0	145	145129
1	150	75236
2	153	50935
3	155	38635
4	156	31242
5	164	27185
6	165	23518
7	167	20802
8	169	18672
9	171	16985
10	175	15814
11	178	14685
12	180	13682
13	182	12838
14	184	12123
15	186	11497
16	190	11021
17	192	10527
18	194	10062
19	196	9646
20	198	9266
21	200	8915
22	202	8592
23	206	8388
24	208	8148
25	211	7931
26	213	7693
27	215	7470
28	216	7262
29	222	7196
30	224	7005
31	225	6823
32	227	6671
33	229	6512
34	230	6367
35	232	6222
36	235	6135
37	237	6024
38	239	5904
39	241	5792
40	243	5689
41	244	5585
42	246	5484
43	248	5389
44	251	5343
45	253	5254
46	255	5172
47	257	5098
48	258	5018
49	260	4942
50	261	4867
51	263	4798
52	266	4770
53	268	4708
54	270	4647
55	272	4593
56	274	4533
57	275	4482
58	278	4435
59	281	4413
60	283	4360
61	285	4311
62	286	4261
63	287	4211
64	289	4167
65	291	4120
66	292	4077
67	295	4054
68	297	4018
69	299	3979
70	301	3940
71	302	3903
72	305	3874
73	307	3843
74	308	3808
75	312	3794
76	313	3760
77	315	3730
78	317	3704
79	319	3672
80	321	3643
81	323	3617
82	325	3590
83	327	3573
84	329	3548
85	331	3521
86	333	3500
87	335	3476
88	337	3454
89	340	3438
90	342	3420
91	344	3396
92	345	3372
93	347	3349
94	349	3324
95	350	3301
96	352	3277
97	353	3256
98	356	3240
99	357	3219
100	359	3197
101	361	3179
102	362	3158
103	364	3139
104	366	3120
105	367	3101
106	370	3092
107	372	3076
108	373	3057
109	375	3038
110	377	3022
111	379	3005
112	381	2995
113	385	2998
114	389	2998
115	393	2997
116	395	2985
117	397	2970
118	401	2970
119	402	2953
120	404	2937
121	406	2922
122	407	2905
123	409	2890
124	410	2875
125	412	2860
126	414	2849
127	416	2834
128	418	2823
129	419	2809
130	421	2794
131	422	2779
132	424	2764
133	425	2750
134	427	2736
135	430	2732
136	432	2722
137	433	2710
138	435	2697
139	436	2684
140	438	2672
141	439	2658
142	442	2650
143	446	2651
144	448	2647
145	450	2636
146	452	2626
147	454	2615
148	456	2608
149	463	2628
150	466	2625
151	468	2616
152	470	2606
153	472	2596
154	476	2600
155	478	2591
156	481	2585
157	483	2575
158	485	2566
159	487	2557
160	488	2545
161	491	2542
162	493	2534
163	495	2527
164	497	2518
165	499	2511
166	502	2504
167	506	2508
168	508	2501
169	510	2493
170	512	2485
171	514	2477
172	516	2468
173	518	2461
174	521	2456
175	522	2447
176	524	2440
177	526	2431
178	528	2422
179	529	2414
180	532	2409
181	534	2403
182	536	2395
183	538	2387
184	540	2380
185	542	2372
186	543	2363
187	547	2363
188	549	2358
189	551	2350
190	552	2341
191	555	2335
192	556	2327
193	558	2319
194	562	2322
195	564	2315
196	566	2307
197	567	2300
198	569	2293
199	571	2286
200	573	2277
201	576	2276
202	578	2270
203	580	2263
204	582	2258
205	583	2250
206	585	2242
207	587	2235
208	588	2228
209	592	2229
210	594	2222
211	596	2216
212	598	2211
213	600	2203
214	601	2197
215	606	2201
